Tier,Category,Group Name,Facebook URL,Geography,Primary Audience,Approx Members,Privacy,Activity Level,Why Relevant,Self-Promo Allowed,Admin / Dealer-Run,Source Batch,URL Type,final_tier,recommended_action,pitch_angle,recommended_template,recommended_keyword,audience_archetype,red_flag,research_batch
2,Drone Adjacent,Drone Community,https://www.facebook.com/groups/TheDroneCommunity/,Global,Drone enthusiasts,unknown,unknown,active,Large general drone community,unknown,no,"B1, B3",Group,B,Join+Lurk,DJI ban content has crossover; otherwise low fit,T8 DJI ban,DJI,Drone-curious,,1
2,Drone Adjacent,Drone Mapping and Processing,https://www.facebook.com/groups/dronemappingandprocessing/,Global,Drone mappers,unknown,Public,unknown,Ag mappers overlap with scouting drone operators,unknown,No,B6,Group,B,Join+Post,Diversify into ag spray for better margins than mapping,T2 reg decode,TANK,Drone-curious,Mapping purists may not care about spray,1
2,Drone Adjacent,Drone Pilots Of Michigan,https://www.facebook.com/groups/279868772390043/,Michigan,Drone pilots,unknown,unknown,unknown,State drone pilots including ag,unknown,no,B5,Group,B,Join+Post,Regional ag-spray opportunity; localized hooks,T1 rate question (regional),RATES,Drone-curious,Keep regional content actually regional,1
2,Drone Adjacent,Drone User Group,https://www.facebook.com/groups/DroneUserGroup/,USA,Drone enthusiasts,unknown,unknown,unknown,Broad drone user base including ag,unknown,no,B3,Group,B,Join+Lurk,DJI ban content has crossover; otherwise low fit,T8 DJI ban,DJI,Drone-curious,,1
2,Drone Adjacent,Drones Buy/sell/trade USA,https://www.facebook.com/groups/291896010985884/,USA,Drone buyers and sellers,unknown,unknown,unknown,Used drone and parts marketplace,unknown,no,B3,Group,B,Join+Lurk,DJI ban content has crossover; otherwise low fit,T8 DJI ban,DJI,Drone-curious,,1
2,Drone Adjacent,FAA Part 107 Licensed Pilots,https://www.facebook.com/groups/1649641865296412/,USA,Commercial drone pilots,unknown,unknown,active,"Commercial drone pilots, some moving into ag spraying",unknown,no,"B1, B2",Group,A,Join+Post,Part 107 to Part 137 path; ag spray pays better than inspection,T2 reg decode,REG,Drone-curious,"Recruiting audience, not customers",1
2,Drone Adjacent,FPV Builders,https://www.facebook.com/groups/FPVbuilders/,Global,FPV/multirotor builders,unknown,Public,unknown,Multirotor builders are drone-curious,unknown,No,B6,Group,C,Skip,,,,,FPV racing/freestyle; no ag overlap,1
2,Drone Adjacent,FPV Drone Builders Group,https://www.facebook.com/groups/FPVdronebuilders/,Global,FPV builders,unknown,Public,unknown,DIY builders include budget ag operators,unknown,No,B6,Group,C,Skip,,,,,FPV racing/freestyle; no ag overlap,1
2,Drone Adjacent,Georgia Drone Pilots,https://www.facebook.com/groups/georgiadronepilots/,Georgia,Drone pilots,"~15,000",unknown,active,Large pilot base in heavy peanut/cotton state,unknown,no,B3,Group,B,Join+Post,Regional ag-spray opportunity; localized hooks,T1 rate question (regional),RATES,Drone-curious,Keep regional content actually regional,1
2,Drone Adjacent,OFFICIAL DJI OWNERS GROUP,https://www.facebook.com/groups/dji.owners/,Global,DJI drone owners,unknown,unknown,active,"Massive DJI owner base, some Agras owners",unknown,no,"B1, B5",Group,C,Skip,,,,,Brand-controlled official group; link-hostile,1
2,Drone Adjacent,Puget Sound Multirotor and FPV,https://www.facebook.com/groups/698339773610944/,Washington,Multirotor pilots,unknown,Public,unknown,PNW pilot community near ag regions,unknown,No,B6,Group,C,Skip,,,,,FPV racing/freestyle; no ag overlap,1
2,Drone Adjacent,UAV Legal News,https://www.facebook.com/groups/uavLegalNews/,USA,Drone operators,unknown,unknown,moderate,Part 107/137 rule changes that your readers track,unknown,no,"B3, B5",Group,A,Join+Post,"FCC list, Part 137 enforcement, regulation roundup","T2 reg decode, T8 DJI ban",REG,Drone-curious,High-information audience; be precise on facts,1
2,Drone Business,Blue Collar Millionaire,https://www.facebook.com/groups/bluecollarmillionaire/,USA,Drone business owners,unknown,unknown,unknown,Drone business and side hustle including spraying,unknown,no,B5,Group,B,Join+Lurk,Ag spray drone as rural business opportunity,T6 job lead,TANK,Drone-curious,Avoid get-rich-quick framing; give real numbers,1
2,Drone Owner Community,Autel Robotics EVO USA Owners,https://www.facebook.com/groups/AutelRoboticsEVOOwnersGroup/,US,Autel drone owners,unknown,unknown,active,US-only Autel owners moving into spray/scout,unknown,Community,B7,Group,C,Skip,,,,,Hobbyist camera drone owners; not ag,1
2,Drone Owner Community,OFFICIAL Autel Robotics Owners,https://www.facebook.com/groups/AutelRobotics/,Global/US,Autel drone owners,unknown,unknown,active,Leading non-DJI NDAA-relevant drone owner pool,unknown,Community,B7,Group,C,Skip,,,,,Hobbyist camera drone owners; not ag,1
2,Equipment Parts,All John Deere Combine Parts Buy and Sell,https://www.facebook.com/groups/1535920383164544/,USA,Row crop farmer-operators,unknown,unknown,Active,Combine owners are row crop farmer-operators,unknown,Community,B8,Group,C,Skip,,,,,Parts BST only,1
2,Equipment Parts,John Deere 3300-8820 Combine Parts,https://www.facebook.com/groups/2618450631796901/,USA,Combine owners,unknown,unknown,unknown,Row crop farmer-operators,unknown,Community,B8,Group,C,Skip,,,,,Parts BST only,1
2,Equipment Parts,John Deere Used Parts For Sale or Trade,https://www.facebook.com/groups/1863107727270279/,USA,Equipment owners,unknown,unknown,Active,Broad farmer-operator equipment audience,unknown,Community,B8,Group,C,Skip,,,,,Parts BST only,1
2,Equipment Parts,The Combine Forum Facebook Group,https://www.facebook.com/groups/38213277527/,USA,Combine operators,unknown,unknown,Active,Large row crop operator audience,unknown,Community,B8,Group,C,Skip,,,,,Parts BST only,1
2,Hunting/Food Plot,Antler King Food Plots and Deer Management,https://www.facebook.com/groups/151636468869102/,USA,Food plot and deer managers,unknown,unknown,unknown,Brand-driven food plot audience,unknown,Community,B8,Group,A,Join+Post,Drone seeding remote timber plots at $20/acre + seed,"T3 photo story, T4 farmer-ask",ACRES,Specialty,Avoid baiting/feeding debates; high-fence is heated,1
2,Hunting/Food Plot,Food Plot Management,https://www.facebook.com/groups/1570753359865042/,USA,Deer food plot managers,unknown,unknown,unknown,Drone seeding crossover,unknown,Community,B8,Group,A,Join+Post,Drone seeding remote timber plots at $20/acre + seed,"T3 photo story, T4 farmer-ask",ACRES,Specialty,Avoid baiting/feeding debates; high-fence is heated,1
2,Hunting/Food Plot,Food Plots For Whitetail,https://www.facebook.com/groups/1204160716406221/,USA,Landowners planting food plots,unknown,unknown,Active,Food plot seeding maps to drone broadcast seeding,unknown,Community,B8,Group,A,Join+Post,Drone seeding remote timber plots at $20/acre + seed,"T3 photo story, T4 farmer-ask",ACRES,Specialty,Avoid baiting/feeding debates; high-fence is heated,1
2,Hunting/Food Plot,Habitat Management,https://www.facebook.com/groups/656072617879925/,USA,Land habitat managers,unknown,unknown,unknown,Habitat improvement overlaps with ag drones,unknown,Community,B8,Group,A,Join+Post,Drone seeding remote timber plots at $20/acre + seed,"T3 photo story, T4 farmer-ask",ACRES,Specialty,Avoid baiting/feeding debates; high-fence is heated,1
2,Hunting/Food Plot,Southern Habitat Managers,https://www.facebook.com/groups/1297985527013375/,Southern USA,Deer habitat managers,unknown,unknown,unknown,Habitat work overlaps drone seeding and spraying,unknown,Community,B8,Group,A,Join+Post,Drone seeding remote timber plots at $20/acre + seed,"T3 photo story, T4 farmer-ask",ACRES,Specialty,Avoid baiting/feeding debates; high-fence is heated,1
2,Hunting/Food Plot,Whitetail Food Plotters,https://www.facebook.com/groups/317469335084096/,USA,Food plot planters,unknown,unknown,unknown,Drone seeding crossover audience,unknown,Community,B8,Group,A,Join+Post,Drone seeding remote timber plots at $20/acre + seed,"T3 photo story, T4 farmer-ask",ACRES,Specialty,Avoid baiting/feeding debates; high-fence is heated,1
2,Off-Brand Tractor,KIOTI tractors and owners group,https://www.facebook.com/groups/334243355285653/,US,Kioti tractor owners,unknown,unknown,active,Owners of No.3 compact tractor brand in North America,unknown,Community,B7,Group,B,Join+Post,Small-acre affordability; drone vs $150K self-propelled,T4 farmer-ask,TANK,Farmer-operator,,1
2,Off-Brand Tractor,LS Tractor Owners,https://www.facebook.com/groups/2554787088168958/,US,LS tractor owners,unknown,unknown,active,Compact tractor brand owners,unknown,Community,B7,Group,B,Join+Post,Small-acre affordability; drone vs $150K self-propelled,T4 farmer-ask,TANK,Farmer-operator,,1
2,Off-Brand Tractor,Yanmar Tractor Owners Group,https://www.facebook.com/groups/489981211832105/,US,Yanmar tractor owners,unknown,unknown,active,Compact tractor owners and small farms,unknown,Community,B7,Group,C,Skip,,,,,Vintage/collector tractor; not sprayer audience,1
3,Antique Tractor,Farmall Parts Exchange,https://www.facebook.com/groups/1608390002744896/,USA,Farmall owners,unknown,unknown,unknown,Farm landowner overlap,unknown,Community,B8,Group,C,Skip,,,,,Collectors/restorers; not active spray buyers,2
3,Antique Tractor,International Farmall Tractors and Equipment,https://www.facebook.com/groups/Farmall/,USA,IH and Farmall owners,unknown,unknown,unknown,Farm landowner overlap,unknown,Community,B8,Group,C,Skip,,,,,Collectors/restorers; not active spray buyers,2
3,Antique Tractor,Michigan Antique Farm Tractors Buy or Sell,https://www.facebook.com/groups/611958678903776/,Michigan,Antique tractor buyers,unknown,unknown,unknown,MI farm landowner overlap,unknown,Community,B8,Group,C,Skip,,,,,Collectors/restorers; not active spray buyers,2
3,Antique Tractor,Vintage Farmall Tractors Letter Series,https://www.facebook.com/groups/320988631923334/,USA,Farmall collectors,unknown,unknown,unknown,Farm landowner overlap,unknown,Community,B8,Group,C,Skip,,,,,Collectors/restorers; not active spray buyers,2
3,Antique Tractor,farmall tractor lovers,https://www.facebook.com/groups/1683416541879611/,USA,Farmall enthusiasts,unknown,unknown,unknown,Farm landowner overlap,unknown,Community,B8,Group,C,Skip,,,,,Collectors/restorers; not active spray buyers,2
3,Antique Tractor,old farmall tractors,https://www.facebook.com/groups/220328494844552/,USA,Antique tractor owners,unknown,unknown,Active,Farm landowner hobbyist overlap,unknown,Community,B8,Group,C,Skip,,,,,Collectors/restorers; not active spray buyers,2
3,Auction,West Tn Farm Auction,https://www.facebook.com/groups/620020348133180/,TN,Farmers/auction buyers,unknown,unknown,active,Regional farm auction audience,Yes,Community,B7,Group,C,Skip,,,,,Transactional auction board,2
3,Beekeeping,Apalachee Beekeepers Association,https://www.facebook.com/groups/367592968778/,Florida,Regional beekeepers,unknown,unknown,unknown,Drift and pollinator overlap,unknown,Community,B8,Group,C,Lurk+BeeCheck only,BeeCheck drift-reduction only; NEVER pesticide promotion,BeeCheck PSA post only,TANK,B2B partner (drift-reduction),SEVERE: never promote spraying; only drift-reduction angle,2
3,Beekeeping,High Plains Colorado Beekeepers,https://www.facebook.com/groups/242192630336337/,Colorado,Regional beekeepers,unknown,unknown,unknown,Drift and pollinator overlap,unknown,Community,B8,Group,C,Lurk+BeeCheck only,BeeCheck drift-reduction only; NEVER pesticide promotion,BeeCheck PSA post only,TANK,B2B partner (drift-reduction),SEVERE: never promote spraying; only drift-reduction angle,2
3,Beekeeping,Iberia Area Beekeepers,https://www.facebook.com/groups/2119931391353000/,Missouri,Regional beekeepers,unknown,unknown,unknown,Drift and pollinator overlap,unknown,Community,B8,Group,C,Lurk+BeeCheck only,BeeCheck drift-reduction only; NEVER pesticide promotion,BeeCheck PSA post only,TANK,B2B partner (drift-reduction),SEVERE: never promote spraying; only drift-reduction angle,2
3,Beekeeping,Johnson County Beekeepers Association,https://www.facebook.com/groups/186087358834778/,Missouri,County beekeepers,unknown,unknown,unknown,Drift and pollinator overlap,unknown,Community,B8,Group,C,Lurk+BeeCheck only,BeeCheck drift-reduction only; NEVER pesticide promotion,BeeCheck PSA post only,TANK,B2B partner (drift-reduction),SEVERE: never promote spraying; only drift-reduction angle,2
3,Beekeeping,Lebanon MO Area Beekeepers,https://www.facebook.com/groups/1680263622033036/,Missouri,Regional beekeepers,unknown,unknown,unknown,Drift and pollinator overlap,unknown,Community,B8,Group,C,Lurk+BeeCheck only,BeeCheck drift-reduction only; NEVER pesticide promotion,BeeCheck PSA post only,TANK,B2B partner (drift-reduction),SEVERE: never promote spraying; only drift-reduction angle,2
3,Beekeeping,Northland Beekeepers,https://www.facebook.com/groups/NorthlandBeekeepers/,Missouri,Regional beekeepers,unknown,unknown,unknown,Drift and pollinator overlap,unknown,Community,B8,Group,C,Lurk+BeeCheck only,BeeCheck drift-reduction only; NEVER pesticide promotion,BeeCheck PSA post only,TANK,B2B partner (drift-reduction),SEVERE: never promote spraying; only drift-reduction angle,2
3,Beekeeping,SkiBees Beekeepers,https://www.facebook.com/groups/skibees/,Colorado,Regional beekeepers,unknown,unknown,unknown,Drift and pollinator overlap,unknown,Community,B8,Group,C,Lurk+BeeCheck only,BeeCheck drift-reduction only; NEVER pesticide promotion,BeeCheck PSA post only,TANK,B2B partner (drift-reduction),SEVERE: never promote spraying; only drift-reduction angle,2
3,Beekeeping,Southeast Minnesota Beekeepers Association,https://www.facebook.com/groups/1639869866234415/,Minnesota,Regional beekeepers,unknown,unknown,Active,Drift management discussions with applicators,unknown,Community,B8,Group,C,Lurk+BeeCheck only,BeeCheck drift-reduction only; NEVER pesticide promotion,BeeCheck PSA post only,TANK,B2B partner (drift-reduction),SEVERE: never promote spraying; only drift-reduction angle,2
3,Beekeeping,Southern MO Beekeepers of Monett,https://www.facebook.com/groups/1539263263040029/,Missouri,Regional beekeepers,unknown,unknown,Active,Drift and pollinator overlap,unknown,Community,B8,Group,C,Lurk+BeeCheck only,BeeCheck drift-reduction only; NEVER pesticide promotion,BeeCheck PSA post only,TANK,B2B partner (drift-reduction),SEVERE: never promote spraying; only drift-reduction angle,2
3,Beekeeping,Walton County Florida Beekeepers Association,https://www.facebook.com/groups/waltoncountyfloridabeekeepersassociation/,Florida,County beekeepers,unknown,unknown,unknown,Drift and pollinator overlap in FL ag,unknown,Community,B8,Group,C,Lurk+BeeCheck only,BeeCheck drift-reduction only; NEVER pesticide promotion,BeeCheck PSA post only,TANK,B2B partner (drift-reduction),SEVERE: never promote spraying; only drift-reduction angle,2
3,Cattle Breed,American Highland Cattle Association Breeders Group,https://www.facebook.com/groups/270861506948/,US,Highland cattle breeders,unknown,unknown,active,US Highland breeders with pasture,unknown,Community,B7,Group,C,Skip,,,,,Breed BST/treaty board,2
3,Cattle Breed,American Wagyu Marketplace Group,https://www.facebook.com/groups/americanwagyu/,US,Wagyu producers/buyers,unknown,unknown,active,US Wagyu marketplace with land-owning producers,Yes,Community,B7,Group,C,Skip,,,,,For-sale/marketplace cattle; not discussion,2
3,Cattle Breed,Angus Breeders of Texas,https://www.facebook.com/groups/491829548805950/,TX,Angus producers,unknown,unknown,active,Texas cattle producers managing grazing land,unknown,Community,B7,Group,C,Skip,,,,,Breed BST/treaty board,2
3,Cattle Breed,Brangus Beef Cattle Breeders,https://www.facebook.com/groups/26803145919/,US,Brangus producers,unknown,unknown,active,Southern cattle producers with pasture,unknown,Community,B7,Group,B,Join+Post,"Pasture brush/weed spot spray; thistle, mesquite, prickly pear","T3 photo story, T4 farmer-ask",TANK,Farmer-operator,"2,4-D drift on neighbor crops is touchy; clover-kill is real",2
3,Cattle Breed,Dexter Cattle Breeders,https://www.facebook.com/groups/1043824415706481/,US,Dexter cattle breeders,unknown,unknown,active,Small-acreage cattle producers,unknown,Community,B7,Group,C,Skip,,,,,Tiny-acreage hobby; weak fit,2
3,Cattle Breed,Everything Simmental Cattle,https://www.facebook.com/groups/516234915634616/,US,Simmental producers,unknown,unknown,active,Simmental breeders with grazing land,unknown,Community,B7,Group,B,Join+Post,"Pasture brush/weed spot spray; thistle, mesquite, prickly pear","T3 photo story, T4 farmer-ask",TANK,Farmer-operator,"2,4-D drift on neighbor crops is touchy; clover-kill is real",2
3,Cattle Breed,Hereford Cattle,https://www.facebook.com/groups/272134531257/,US,Hereford producers,unknown,unknown,active,Large Hereford producer audience,unknown,Community,B7,Group,C,Skip,,,,,Breed BST/treaty board,2
3,Cattle Breed,Registered Angus Cattle Only Group,https://www.facebook.com/groups/731368310285309/,US,Angus producers,unknown,unknown,active,National Angus breeders with acreage,unknown,Community,B7,Group,C,Skip,,,,,Breed BST/treaty board,2
3,Cattle Breed,Texas Longhorn Cattle Owners Of Tennessee,https://www.facebook.com/groups/193486464695838/,TN,Longhorn owners,unknown,unknown,active,Regional ranchers with grazing acreage,unknown,Community,B7,Group,C,Skip,,,,,Breed BST/treaty board,2
3,Cattle Breed,The American Brahman Breeders of Arkansas,https://www.facebook.com/groups/175822279905426/,AR,Brahman producers,unknown,unknown,active,Gulf South cattle producers,unknown,Community,B7,Group,C,Skip,,,,,Breed BST/treaty board,2
3,Cattle Breed,United Brahman Breeders,https://www.facebook.com/groups/2151043688417280/,US,Brahman producers,unknown,unknown,active,National Brahman producer community,unknown,Community,B7,Group,C,Skip,,,,,Breed BST/treaty board,2
3,Cattle Breed,WAGYU Breeder Group,https://www.facebook.com/groups/1653448294871674/,Global/US,Wagyu producers,unknown,unknown,active,Additional Wagyu breeder community,unknown,Community,B7,Group,C,Skip,,,,,For-sale/marketplace cattle; not discussion,2
3,Cattle Breed,Wagyu Breeders Group,https://www.facebook.com/groups/600855546594105/,US,Wagyu producers,unknown,unknown,active,Premium cattle producers with pasture acreage,unknown,Community,B7,Group,C,Skip,,,,,For-sale/marketplace cattle; not discussion,2
3,Cattle Breed,Wagyu Breeders World,https://www.facebook.com/groups/wagyubreedersworld/,Global/US,Wagyu producers,unknown,unknown,active,High-value cattle producers managing forage,unknown,Community,B7,Group,C,Skip,,,,,For-sale/marketplace cattle; not discussion,2
3,Commercial Specialty,Aquaponics and Hydroponics Commercial Growers,https://www.facebook.com/groups/AquaponicsandHydroponicsCommercialGrowers/,USA,Commercial growers,unknown,unknown,unknown,Commercial grower audience,unknown,Community,B8,Group,C,Skip,,,,,Indoor/controlled-environment; no spray acres,2
3,Commercial Specialty,Growing and Selling Microgreens,https://www.facebook.com/groups/microgreens/,USA/Global,Commercial microgreen growers,unknown,unknown,Active,Commercial grower audience,unknown,Community,B8,Group,C,Skip,,,,,Indoor/controlled-environment; no spray acres,2
